ymin,xmin,crop_type,burn_area
11.8,97.3,Forest,0.0
11.8,97.4,Forest,0.0
11.8,97.5,Forest,0.0
11.8,97.59999999999998,Forest,0.0
11.8,97.69999999999996,Forest,0.0
11.8,97.79999999999995,Forest,0.0
11.8,97.89999999999996,Forest,0.0
11.8,97.99999999999996,Forest,0.0
11.8,98.09999999999997,Forest,0.0
11.8,98.19999999999996,Forest,0.0
11.8,98.29999999999994,Forest,0.0
11.8,98.39999999999992,Forest,0.0
11.8,98.49999999999991,Forest,0.0
11.8,98.59999999999992,Forest,0.0
11.8,98.69999999999992,Forest,0.0
11.8,98.79999999999993,Forest,0.0
11.8,98.8999999999999,Forest,0.0
11.8,98.9999999999999,Forest,0.0
11.8,99.0999999999999,Forest,0.0
11.8,99.19999999999987,Forest,0.0
11.8,99.29999999999988,Forest,0.0
11.8,99.39999999999988,Forest,0.0
11.8,99.49999999999989,Forest,0.0
11.8,99.59999999999988,Forest,0.0126224649117881
11.8,99.69999999999986,Forest,0.0
11.8,99.79999999999986,Forest,0.0
11.8,99.89999999999984,Forest,0.0
11.8,99.99999999999984,Forest,0.0
11.8,100.09999999999984,Forest,0.0
11.8,100.19999999999985,Forest,0.0
11.8,100.29999999999984,Forest,0.0
11.8,100.39999999999982,Forest,0.0
11.8,100.49999999999982,Forest,0.0
11.8,100.5999999999998,Forest,0.0
11.8,100.6999999999998,Forest,0.0
11.8,100.7999999999998,Forest,0.0
11.8,100.8999999999998,Forest,0.0
11.8,100.9999999999998,Forest,0.0
11.8,101.09999999999978,Forest,0.0
11.8,101.19999999999978,Forest,0.0
11.8,101.29999999999976,Forest,0.0
11.8,101.39999999999976,Forest,0.0
11.8,101.49999999999976,Forest,0.0
11.8,101.59999999999977,Forest,0.0
11.8,101.69999999999976,Forest,0.0
11.8,101.79999999999974,Forest,0.0
11.8,101.89999999999974,Forest,0.0
11.8,101.99999999999972,Forest,0.0
11.8,102.09999999999972,Forest,0.0
11.8,102.19999999999972,Forest,0.0
11.8,102.29999999999971,Forest,0.0
11.8,102.39999999999972,Forest,0.0
11.8,102.4999999999997,Forest,0.0
11.8,102.5999999999997,Forest,0.0
11.8,102.69999999999968,Forest,0.0
11.8,102.79999999999968,Forest,0.0
11.8,102.89999999999968,Forest,0.0
11.8,102.99999999999967,Forest,0.0
11.8,103.09999999999968,Forest,0.0
11.8,103.19999999999966,Forest,0.0
11.8,103.29999999999966,Forest,0.0
11.8,103.39999999999964,Forest,0.0
11.8,103.49999999999964,Forest,0.0
11.8,103.59999999999964,Forest,0.0
11.8,103.69999999999963,Forest,0.0
11.8,103.79999999999964,Forest,0.0
11.8,103.89999999999962,Forest,0.0
11.8,103.99999999999962,Forest,0.0
11.8,104.0999999999996,Forest,0.0
11.8,104.1999999999996,Forest,0.0
11.8,104.2999999999996,Forest,0.0
11.8,104.3999999999996,Forest,0.0
11.8,104.4999999999996,Forest,0.0
11.8,104.59999999999958,Forest,0.0
11.8,104.69999999999958,Forest,0.0
11.8,104.79999999999956,Forest,0.0
11.8,104.89999999999957,Forest,0.0
11.8,104.99999999999956,Forest,0.0
11.8,105.09999999999955,Forest,0.0
11.8,105.19999999999956,Forest,0.0
11.8,105.29999999999954,Forest,0.0
11.8,105.39999999999954,Forest,0.0
11.8,105.49999999999952,Forest,0.0
11.9,97.3,Forest,0.0
11.9,97.4,Forest,0.0
11.9,97.5,Forest,0.0
11.9,97.59999999999998,Forest,0.0
11.9,97.69999999999996,Forest,0.0
11.9,97.79999999999995,Forest,0.0
11.9,97.89999999999996,Forest,0.0
11.9,97.99999999999996,Forest,0.0
11.9,98.09999999999997,Forest,0.0
11.9,98.19999999999996,Forest,0.0
11.9,98.29999999999994,Forest,0.0
11.9,98.39999999999992,Forest,0.0
11.9,98.49999999999991,Forest,0.0
11.9,98.59999999999992,Forest,0.0
11.9,98.69999999999992,Forest,0.0
11.9,98.79999999999993,Forest,0.0
11.9,98.8999999999999,Forest,0.0
11.9,98.9999999999999,Forest,0.0
11.9,99.0999999999999,Forest,0.0
11.9,99.19999999999987,Forest,0.0
11.9,99.29999999999988,Forest,0.0
11.9,99.39999999999988,Forest,0.0
11.9,99.49999999999989,Forest,0.0
11.9,99.59999999999988,Forest,0.0
11.9,99.69999999999986,Forest,0.0
11.9,99.79999999999986,Forest,0.0
11.9,99.89999999999984,Forest,0.0
11.9,99.99999999999984,Forest,0.0
11.9,100.09999999999984,Forest,0.0
11.9,100.19999999999985,Forest,0.0
11.9,100.29999999999984,Forest,0.0
11.9,100.39999999999982,Forest,0.0
11.9,100.49999999999982,Forest,0.0
11.9,100.5999999999998,Forest,0.0
11.9,100.6999999999998,Forest,0.0
11.9,100.7999999999998,Forest,0.0
11.9,100.8999999999998,Forest,0.0
11.9,100.9999999999998,Forest,0.0
11.9,101.09999999999978,Forest,0.0
11.9,101.19999999999978,Forest,0.0
11.9,101.29999999999976,Forest,0.0
11.9,101.39999999999976,Forest,0.0
11.9,101.49999999999976,Forest,0.0
