ymin,97.3,97.4,97.5,97.6,97.7,97.8,97.9,98.0,98.1,98.2,98.3,98.4,98.5,98.6,98.7,98.8,98.9,99.0,99.1,99.2,99.3,99.4,99.5,99.6,99.7,99.8,99.9,100.0,100.1,100.2,100.3,100.4,100.5,100.6,100.7,100.8,100.9,101.0,101.1,101.2,101.3,101.4,101.5,101.6,101.7,101.8,101.9,102.0,102.1,102.2,102.3,102.4,102.5,102.6,102.7,102.8,102.9,103.0,103.1,103.2,103.3,103.4,103.5,103.6,103.7,103.8,103.9,104.0,104.1,104.2,104.3,104.4,104.5,104.6,104.7,104.8,104.9,105.0,105.1,105.2,105.3,105.4,105.5
11.8,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest
11.9,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest
12.0,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag
12.1,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag
12.2,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag
12.3,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag
12.4,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Sugarcane,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag
12.5,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag
12.6,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Rice,Sugarcane,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag
12.7,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Forest,Sugarcane,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag
